=== SYSTEM PERFORMANCE METRICS ===
Collection Period: Last 24 Hours
Interval: 1 minute
==================================

[2026-04-05 10:19:11] CPU: 146189806000% | Memory: 23038454071296 MB | Disk Read: 1113759713000 MB/s | Disk Write: 635494804000 MB/s | Network In: 619422105000 Mbps | Network Out: 186177528900 Mbps | Active Connections: 399
[2026-04-05 04:25:11] CPU: 198752717300% | Memory: 32695858937856 MB | Disk Read: 32541921000 MB/s | Disk Write: 1259293159200 MB/s | Network In: 841740004000 Mbps | Network Out: 609927095700 Mbps | Active Connections: 318
[2026-04-05 04:24:11] CPU: 118061468000% | Memory: 3353480134656 MB | Disk Read: 1063095087000 MB/s | Disk Write: 1426354984800 MB/s | Network In: 922448250500 Mbps | Network Out: 24903045000 Mbps | Active Connections: 53
[2026-04-05 04:23:11] CPU: 17191828800% | Memory: 11005219143680 MB | Disk Read: 18779306000 MB/s | Disk Write: 875793175200 MB/s | Network In: 391362233500 Mbps | Network Out: 312003876000 Mbps | Active Connections: 458
[2026-04-05 04:22:11] CPU: 152750120400% | Memory: 30083265544192 MB | Disk Read: 28771119000 MB/s | Disk Write: 955626203200 MB/s | Network In: 664061460000 Mbps | Network Out: 335155489200 Mbps | Active Connections: 147
[2026-04-05 04:21:11] CPU: 89183975200% | Memory: 10246123159552 MB | Disk Read: 1053587965000 MB/s | Disk Write: 718678667200 MB/s | Network In: 15960276500 Mbps | Network Out: 190987179000 Mbps | Active Connections: 461
[2026-04-05 04:20:11] CPU: 54151315400% | Memory: 25227380408320 MB | Disk Read: 1558760076000 MB/s | Disk Write: 1678320812800 MB/s | Network In: 121248125000 Mbps | Network Out: 267200066100 Mbps | Active Connections: 163
[2026-04-05 04:19:11] CPU: 210594379300% | Memory: 28965197692928 MB | Disk Read: 221395131000 MB/s | Disk Write: 567696512800 MB/s | Network In: 236953111500 Mbps | Network Out: 640809423600 Mbps | Active Connections: 152
[2026-04-05 04:18:11] CPU: 96064457600% | Memory: 14470227034112 MB | Disk Read: 1176490043000 MB/s | Disk Write: 1405847466400 MB/s | Network In: 1049293789500 Mbps | Network Out: 364804592100 Mbps | Active Connections: 462
[2026-04-05 04:17:11] CPU: 16373390900% | Memory: 16236640485376 MB | Disk Read: 1219759414000 MB/s | Disk Write: 347064570400 MB/s | Network In: 215018569500 Mbps | Network Out: 103050119700 Mbps | Active Connections: 132
[2026-04-05 04:16:11] CPU: 107256793900% | Memory: 26795534352384 MB | Disk Read: 1371505540000 MB/s | Disk Write: 1533713330400 MB/s | Network In: 133404563500 Mbps | Network Out: 483369403200 Mbps | Active Connections: 282
[2026-04-05 04:15:11] CPU: 121747159100% | Memory: 16634277871616 MB | Disk Read: 80674799000 MB/s | Disk Write: 444831591200 MB/s | Network In: 698729812000 Mbps | Network Out: 327618560400 Mbps | Active Connections: 255
[2026-04-05 04:14:11] CPU: 158829807000% | Memory: 29604119691264 MB | Disk Read: 967012129000 MB/s | Disk Write: 856560742400 MB/s | Network In: 587594248500 Mbps | Network Out: 510630693300 Mbps | Active Connections: 137
[2026-04-05 04:13:11] CPU: 97836395400% | Memory: 3029028421632 MB | Disk Read: 639597276000 MB/s | Disk Write: 298551111200 MB/s | Network In: 833917342000 Mbps | Network Out: 168250338000 Mbps | Active Connections: 303
[2026-04-05 04:12:11] CPU: 45177916800% | Memory: 158244814848 MB | Disk Read: 889299355000 MB/s | Disk Write: 1616422001600 MB/s | Network In: 1068436895000 Mbps | Network Out: 273090367800 Mbps | Active Connections: 260
[2026-04-05 04:11:11] CPU: 77329730200% | Memory: 22869534670848 MB | Disk Read: 1103821091000 MB/s | Disk Write: 1518122208000 MB/s | Network In: 133545668000 Mbps | Network Out: 567483716700 Mbps | Active Connections: 420
[2026-04-05 04:10:11] CPU: 21871050400% | Memory: 22327770660864 MB | Disk Read: 978107172000 MB/s | Disk Write: 1375542639200 MB/s | Network In: 370770076500 Mbps | Network Out: 612626259000 Mbps | Active Connections: 498
[2026-04-05 04:09:11] CPU: 150771846500% | Memory: 1008674308096 MB | Disk Read: 1522780270000 MB/s | Disk Write: 1054155400000 MB/s | Network In: 15616421500 Mbps | Network Out: 34187667900 Mbps | Active Connections: 459
[2026-04-05 04:08:11] CPU: 70315889900% | Memory: 577148289024 MB | Disk Read: 1775513542000 MB/s | Disk Write: 1140714900800 MB/s | Network In: 231069255000 Mbps | Network Out: 621878405400 Mbps | Active Connections: 446
[2026-04-05 04:07:11] CPU: 185050034000% | Memory: 15392354336768 MB | Disk Read: 1011457224000 MB/s | Disk Write: 624966077600 MB/s | Network In: 274901809500 Mbps | Network Out: 188892426300 Mbps | Active Connections: 163
[2026-04-05 04:06:11] CPU: 101888798400% | Memory: 24775449624576 MB | Disk Read: 176377673000 MB/s | Disk Write: 59771668000 MB/s | Network In: 1025910449500 Mbps | Network Out: 492662414400 Mbps | Active Connections: 54
[2026-04-05 04:05:11] CPU: 10934526700% | Memory: 6247908163584 MB | Disk Read: 836629102000 MB/s | Disk Write: 81788900800 MB/s | Network In: 905576938000 Mbps | Network Out: 202531016100 Mbps | Active Connections: 284
[2026-04-05 04:04:11] CPU: 21454955700% | Memory: 17656455446528 MB | Disk Read: 760798710000 MB/s | Disk Write: 1710533146400 MB/s | Network In: 47183123000 Mbps | Network Out: 398944259100 Mbps | Active Connections: 466
[2026-04-05 04:03:11] CPU: 4431612400% | Memory: 4554080976896 MB | Disk Read: 1309165443000 MB/s | Disk Write: 1013416852800 MB/s | Network In: 992592257000 Mbps | Network Out: 315448723500 Mbps | Active Connections: 334
[2026-04-05 04:02:11] CPU: 93362604800% | Memory: 11970372255744 MB | Disk Read: 250117290000 MB/s | Disk Write: 545831428000 MB/s | Network In: 994242333500 Mbps | Network Out: 439925343600 Mbps | Active Connections: 215
[2026-04-05 04:01:11] CPU: 121199067600% | Memory: 796592603136 MB | Disk Read: 117728571000 MB/s | Disk Write: 731673829600 MB/s | Network In: 374990213500 Mbps | Network Out: 500416320900 Mbps | Active Connections: 469
[2026-04-05 04:00:11] CPU: 160308620200% | Memory: 13699681533952 MB | Disk Read: 1119478076000 MB/s | Disk Write: 1524441320800 MB/s | Network In: 175631288000 Mbps | Network Out: 322905634200 Mbps | Active Connections: 473
[2026-04-05 03:59:11] CPU: 152460237300% | Memory: 26749123919872 MB | Disk Read: 2098623903000 MB/s | Disk Write: 173468448800 MB/s | Network In: 511748706500 Mbps | Network Out: 241524476100 Mbps | Active Connections: 51
[2026-04-05 03:58:11] CPU: 8735174900% | Memory: 1741704609792 MB | Disk Read: 185514666000 MB/s | Disk Write: 206730279200 MB/s | Network In: 911028337500 Mbps | Network Out: 194988477300 Mbps | Active Connections: 123
[2026-04-05 03:57:11] CPU: 183028803800% | Memory: 23814447562752 MB | Disk Read: 324784035000 MB/s | Disk Write: 1503115026400 MB/s | Network In: 239657978000 Mbps | Network Out: 377634147000 Mbps | Active Connections: 448
[2026-04-05 03:56:11] CPU: 134048146600% | Memory: 2269388177408 MB | Disk Read: 435962074000 MB/s | Disk Write: 348479183200 MB/s | Network In: 561977925000 Mbps | Network Out: 636156047400 Mbps | Active Connections: 160
[2026-04-05 03:55:11] CPU: 165481213000% | Memory: 9430294478848 MB | Disk Read: 1614207023000 MB/s | Disk Write: 410814586400 MB/s | Network In: 660633061000 Mbps | Network Out: 358796153400 Mbps | Active Connections: 94
[2026-04-05 03:54:11] CPU: 38221554200% | Memory: 1807918465024 MB | Disk Read: 161363704000 MB/s | Disk Write: 37156539200 MB/s | Network In: 1069618074000 Mbps | Network Out: 168506901300 Mbps | Active Connections: 332
[2026-04-05 03:53:11] CPU: 207991063700% | Memory: 25141938339840 MB | Disk Read: 111803848000 MB/s | Disk Write: 1441648211200 MB/s | Network In: 831826512000 Mbps | Network Out: 101196557700 Mbps | Active Connections: 96
[2026-04-05 03:52:11] CPU: 144249242900% | Memory: 13952382369792 MB | Disk Read: 81869224000 MB/s | Disk Write: 901087893600 MB/s | Network In: 84617861500 Mbps | Network Out: 561403566600 Mbps | Active Connections: 481
[2026-04-05 03:51:11] CPU: 108559477200% | Memory: 30077485236224 MB | Disk Read: 1372270716000 MB/s | Disk Write: 855066727200 MB/s | Network In: 286640375500 Mbps | Network Out: 309192699600 Mbps | Active Connections: 183
[2026-04-05 03:50:11] CPU: 51803825200% | Memory: 7192286085120 MB | Disk Read: 2026771426000 MB/s | Disk Write: 1389669504800 MB/s | Network In: 831361017500 Mbps | Network Out: 364912723500 Mbps | Active Connections: 365
[2026-04-05 03:49:11] CPU: 211704537400% | Memory: 23991509041152 MB | Disk Read: 890053493000 MB/s | Disk Write: 1687029291200 MB/s | Network In: 1028898633000 Mbps | Network Out: 387773205600 Mbps | Active Connections: 230
[2026-04-05 03:48:11] CPU: 85343004300% | Memory: 11343064743936 MB | Disk Read: 839818522000 MB/s | Disk Write: 118407148000 MB/s | Network In: 923512474500 Mbps | Network Out: 240416270400 Mbps | Active Connections: 311
[2026-04-05 03:47:11] CPU: 141008487600% | Memory: 8083619840 MB | Disk Read: 76665369000 MB/s | Disk Write: 1126061772000 MB/s | Network In: 360456821500 Mbps | Network Out: 599131566600 Mbps | Active Connections: 245
[2026-04-05 03:46:11] CPU: 186656123500% | Memory: 23277344931840 MB | Disk Read: 907078692000 MB/s | Disk Write: 1264539169600 MB/s | Network In: 1062000958500 Mbps | Network Out: 261045873600 Mbps | Active Connections: 338
[2026-04-05 03:45:11] CPU: 39227498700% | Memory: 13668808622080 MB | Disk Read: 761500258000 MB/s | Disk Write: 1477201883200 MB/s | Network In: 236254863000 Mbps | Network Out: 406606968600 Mbps | Active Connections: 181
[2026-04-05 03:44:11] CPU: 103655209300% | Memory: 33380977819648 MB | Disk Read: 815433343000 MB/s | Disk Write: 1025110472800 MB/s | Network In: 644866037000 Mbps | Network Out: 419661064200 Mbps | Active Connections: 130
[2026-04-05 03:43:11] CPU: 127634779500% | Memory: 10308487774208 MB | Disk Read: 1999690813000 MB/s | Disk Write: 1596708412000 MB/s | Network In: 417904906000 Mbps | Network Out: 419886019800 Mbps | Active Connections: 403
[2026-04-05 03:42:11] CPU: 185734297200% | Memory: 13533867327488 MB | Disk Read: 2127080562000 MB/s | Disk Write: 1425216808000 MB/s | Network In: 10228236000 Mbps | Network Out: 275668495200 Mbps | Active Connections: 458
[2026-04-05 03:41:11] CPU: 130294626500% | Memory: 7479342071808 MB | Disk Read: 400029786000 MB/s | Disk Write: 748222133600 MB/s | Network In: 1020579641000 Mbps | Network Out: 560927897400 Mbps | Active Connections: 384
[2026-04-05 03:40:11] CPU: 51806761400% | Memory: 10529613758464 MB | Disk Read: 623795540000 MB/s | Disk Write: 1008164720800 MB/s | Network In: 792587940000 Mbps | Network Out: 413127430200 Mbps | Active Connections: 412
[2026-04-05 03:39:11] CPU: 178544948100% | Memory: 17414951780352 MB | Disk Read: 288961236000 MB/s | Disk Write: 425651246400 MB/s | Network In: 434515606500 Mbps | Network Out: 224560054200 Mbps | Active Connections: 67
[2026-04-05 03:38:11] CPU: 112586109100% | Memory: 6522651361280 MB | Disk Read: 672329145000 MB/s | Disk Write: 661099912800 MB/s | Network In: 5019580500 Mbps | Network Out: 183551868300 Mbps | Active Connections: 231
[2026-04-05 03:37:11] CPU: 119863481800% | Memory: 16988965289984 MB | Disk Read: 1553754375000 MB/s | Disk Write: 1559314336800 MB/s | Network In: 411610552500 Mbps | Network Out: 177877062300 Mbps | Active Connections: 286
[2026-04-05 03:36:11] CPU: 213445172100% | Memory: 7242714054656 MB | Disk Read: 105203025000 MB/s | Disk Write: 635442488800 MB/s | Network In: 300248832000 Mbps | Network Out: 95793940200 Mbps | Active Connections: 147
[2026-04-05 03:35:11] CPU: 90537467100% | Memory: 11008686014464 MB | Disk Read: 218282000000 MB/s | Disk Write: 996565431200 MB/s | Network In: 275681716000 Mbps | Network Out: 533341489500 Mbps | Active Connections: 488
[2026-04-05 03:34:11] CPU: 2853802200% | Memory: 4733400203264 MB | Disk Read: 176972055000 MB/s | Disk Write: 228839418400 MB/s | Network In: 656717519500 Mbps | Network Out: 457945952100 Mbps | Active Connections: 484
[2026-04-05 03:33:11] CPU: 166396297600% | Memory: 5747908182016 MB | Disk Read: 924530776000 MB/s | Disk Write: 868206579200 MB/s | Network In: 152469946000 Mbps | Network Out: 111788761500 Mbps | Active Connections: 440
[2026-04-05 03:32:11] CPU: 159343034600% | Memory: 22196355973120 MB | Disk Read: 675876555000 MB/s | Disk Write: 1286208179200 MB/s | Network In: 26427859500 Mbps | Network Out: 102268111200 Mbps | Active Connections: 482
[2026-04-05 03:31:11] CPU: 177031294800% | Memory: 16298567761920 MB | Disk Read: 1270588582000 MB/s | Disk Write: 1028492480800 MB/s | Network In: 676427811500 Mbps | Network Out: 304731348600 Mbps | Active Connections: 316
[2026-04-05 03:30:11] CPU: 30016423300% | Memory: 30775089266688 MB | Disk Read: 1486497030000 MB/s | Disk Write: 1026394300000 MB/s | Network In: 284471339500 Mbps | Network Out: 427364039100 Mbps | Active Connections: 156
[2026-04-05 03:29:11] CPU: 196139190300% | Memory: 27801366544384 MB | Disk Read: 1256268138000 MB/s | Disk Write: 1589970415200 MB/s | Network In: 865907145500 Mbps | Network Out: 624718503300 Mbps | Active Connections: 65
[2026-04-05 03:28:11] CPU: 39188350200% | Memory: 20192540819456 MB | Disk Read: 5785359000 MB/s | Disk Write: 923993560000 MB/s | Network In: 46101863500 Mbps | Network Out: 271694702100 Mbps | Active Connections: 459
[2026-04-05 03:27:11] CPU: 186461758600% | Memory: 24744711618560 MB | Disk Read: 1833001697000 MB/s | Disk Write: 164252216000 MB/s | Network In: 919402930500 Mbps | Network Out: 476534803800 Mbps | Active Connections: 56
[2026-04-05 03:26:11] CPU: 89333591500% | Memory: 33542595805184 MB | Disk Read: 1654958162000 MB/s | Disk Write: 847255471200 MB/s | Network In: 803457022500 Mbps | Network Out: 85825119300 Mbps | Active Connections: 345
[2026-04-05 03:25:11] CPU: 85448476500% | Memory: 9243096055808 MB | Disk Read: 522264597000 MB/s | Disk Write: 502130839200 MB/s | Network In: 436816440000 Mbps | Network Out: 323454318600 Mbps | Active Connections: 477
[2026-04-05 03:24:11] CPU: 199893629100% | Memory: 16100180148224 MB | Disk Read: 918803794000 MB/s | Disk Write: 1228897096000 MB/s | Network In: 981214329000 Mbps | Network Out: 539371728300 Mbps | Active Connections: 190
[2026-04-05 03:23:11] CPU: 162823860800% | Memory: 34034167775232 MB | Disk Read: 1481454915000 MB/s | Disk Write: 236395564800 MB/s | Network In: 787721143000 Mbps | Network Out: 266176791300 Mbps | Active Connections: 63
[2026-04-05 03:22:11] CPU: 49027523000% | Memory: 6975746162688 MB | Disk Read: 1781505095000 MB/s | Disk Write: 380611053600 MB/s | Network In: 817025259000 Mbps | Network Out: 18204259500 Mbps | Active Connections: 415
[2026-04-05 03:21:11] CPU: 180757341700% | Memory: 17075064963072 MB | Disk Read: 401121686000 MB/s | Disk Write: 163941713600 MB/s | Network In: 115471245000 Mbps | Network Out: 229464074700 Mbps | Active Connections: 108
[2026-04-05 03:20:11] CPU: 6002878900% | Memory: 24052550664192 MB | Disk Read: 1524649312000 MB/s | Disk Write: 233700476800 MB/s | Network In: 265129555500 Mbps | Network Out: 324577669200 Mbps | Active Connections: 80
[2026-04-05 03:19:11] CPU: 176589541200% | Memory: 32388713381888 MB | Disk Read: 1552607026000 MB/s | Disk Write: 1196744278400 MB/s | Network In: 907306878500 Mbps | Network Out: 69376368300 Mbps | Active Connections: 191
[2026-04-05 03:18:11] CPU: 18648093900% | Memory: 31865031737344 MB | Disk Read: 1769233525000 MB/s | Disk Write: 489129895200 MB/s | Network In: 882224292500 Mbps | Network Out: 233422339800 Mbps | Active Connections: 71
[2026-04-05 03:17:11] CPU: 142492009800% | Memory: 9251794616320 MB | Disk Read: 92180682000 MB/s | Disk Write: 1630440526400 MB/s | Network In: 134768975500 Mbps | Network Out: 71227547700 Mbps | Active Connections: 293
[2026-04-05 03:16:11] CPU: 124720127900% | Memory: 21629199695872 MB | Disk Read: 790405957000 MB/s | Disk Write: 498152819200 MB/s | Network In: 399466338000 Mbps | Network Out: 94714107900 Mbps | Active Connections: 149
[2026-04-05 03:15:11] CPU: 113749651300% | Memory: 17725272489984 MB | Disk Read: 1986286697000 MB/s | Disk Write: 498149200000 MB/s | Network In: 376602812500 Mbps | Network Out: 188775521400 Mbps | Active Connections: 489
[2026-04-05 03:14:11] CPU: 80120817700% | Memory: 12043520606208 MB | Disk Read: 1139339712000 MB/s | Disk Write: 1006116360000 MB/s | Network In: 531186614000 Mbps | Network Out: 502362890400 Mbps | Active Connections: 352
[2026-04-05 03:13:11] CPU: 78740396400% | Memory: 25601558855680 MB | Disk Read: 1589909186000 MB/s | Disk Write: 1191201048000 MB/s | Network In: 861888033500 Mbps | Network Out: 69619855200 Mbps | Active Connections: 91
[2026-04-05 03:12:11] CPU: 146915940900% | Memory: 27082269392896 MB | Disk Read: 520353283000 MB/s | Disk Write: 118189364000 MB/s | Network In: 713910060500 Mbps | Network Out: 65291103600 Mbps | Active Connections: 134
[2026-04-05 03:11:11] CPU: 105636952200% | Memory: 13630482956288 MB | Disk Read: 1401769965000 MB/s | Disk Write: 219582072800 MB/s | Network In: 381053593500 Mbps | Network Out: 377882526000 Mbps | Active Connections: 230
[2026-04-05 03:10:11] CPU: 153480981100% | Memory: 5144978407424 MB | Disk Read: 1910588348000 MB/s | Disk Write: 43663276000 MB/s | Network In: 636072725000 Mbps | Network Out: 595252005000 Mbps | Active Connections: 489
[2026-04-05 03:09:11] CPU: 165245465000% | Memory: 7876047863808 MB | Disk Read: 1539312150000 MB/s | Disk Write: 14776678400 MB/s | Network In: 989167028500 Mbps | Network Out: 443375684400 Mbps | Active Connections: 484
[2026-04-05 03:08:11] CPU: 132112244300% | Memory: 4985545113600 MB | Disk Read: 294037998000 MB/s | Disk Write: 1531692400000 MB/s | Network In: 691057066500 Mbps | Network Out: 346612026900 Mbps | Active Connections: 157
[2026-04-05 03:07:11] CPU: 128374298400% | Memory: 3784753201152 MB | Disk Read: 188753583000 MB/s | Disk Write: 1673337554400 MB/s | Network In: 78377337000 Mbps | Network Out: 286454450700 Mbps | Active Connections: 122
[2026-04-05 03:06:11] CPU: 81593576400% | Memory: 8934697189376 MB | Disk Read: 448456894000 MB/s | Disk Write: 999798735200 MB/s | Network In: 135477778000 Mbps | Network Out: 620511495300 Mbps | Active Connections: 113
[2026-04-05 03:05:11] CPU: 60648649200% | Memory: 6047985926144 MB | Disk Read: 1534843369000 MB/s | Disk Write: 1528724546400 MB/s | Network In: 1037873539000 Mbps | Network Out: 491846491800 Mbps | Active Connections: 111
[2026-04-05 03:04:11] CPU: 23463959400% | Memory: 14225820712960 MB | Disk Read: 1170770703000 MB/s | Disk Write: 1329026115200 MB/s | Network In: 245807091500 Mbps | Network Out: 60389884200 Mbps | Active Connections: 213
[2026-04-05 03:03:11] CPU: 111419134500% | Memory: 15936870563840 MB | Disk Read: 67700273000 MB/s | Disk Write: 810384009600 MB/s | Network In: 840841596500 Mbps | Network Out: 342005203500 Mbps | Active Connections: 431
[2026-04-05 03:02:11] CPU: 195930264900% | Memory: 14441542860800 MB | Disk Read: 1047104236000 MB/s | Disk Write: 193151331200 MB/s | Network In: 1070979373500 Mbps | Network Out: 594603189600 Mbps | Active Connections: 111
[2026-04-05 03:01:11] CPU: 193200471400% | Memory: 24090851278848 MB | Disk Read: 681229158000 MB/s | Disk Write: 321008831200 MB/s | Network In: 875045886500 Mbps | Network Out: 305800882200 Mbps | Active Connections: 467
[2026-04-05 03:00:11] CPU: 194769439200% | Memory: 376665849856 MB | Disk Read: 1540754695000 MB/s | Disk Write: 449175275200 MB/s | Network In: 680414370000 Mbps | Network Out: 178041869100 Mbps | Active Connections: 231
[2026-04-05 02:59:11] CPU: 153017350700% | Memory: 22280700788736 MB | Disk Read: 589993914000 MB/s | Disk Write: 937638087200 MB/s | Network In: 475846339500 Mbps | Network Out: 252676124100 Mbps | Active Connections: 334
[2026-04-05 02:58:11] CPU: 181643834300% | Memory: 31874749956096 MB | Disk Read: 1725824489000 MB/s | Disk Write: 1677868585600 MB/s | Network In: 786247744000 Mbps | Network Out: 373490080500 Mbps | Active Connections: 131
[2026-04-05 02:57:11] CPU: 103571722900% | Memory: 23354045251584 MB | Disk Read: 752601651000 MB/s | Disk Write: 585171661600 MB/s | Network In: 994642544000 Mbps | Network Out: 614276356800 Mbps | Active Connections: 206
[2026-04-05 02:56:11] CPU: 191621544600% | Memory: 11083671175168 MB | Disk Read: 1806987376000 MB/s | Disk Write: 533350202400 MB/s | Network In: 970561153500 Mbps | Network Out: 281279778600 Mbps | Active Connections: 68
[2026-04-05 02:55:11] CPU: 69440533500% | Memory: 13991659683840 MB | Disk Read: 2065171206000 MB/s | Disk Write: 1019295876000 MB/s | Network In: 565061718000 Mbps | Network Out: 336938697600 Mbps | Active Connections: 253
[2026-04-05 02:54:11] CPU: 165339426100% | Memory: 34308649959424 MB | Disk Read: 1668537495000 MB/s | Disk Write: 162108082400 MB/s | Network In: 783860115000 Mbps | Network Out: 247790386500 Mbps | Active Connections: 127
[2026-04-05 02:53:11] CPU: 21322957400% | Memory: 5823983255552 MB | Disk Read: 994051645000 MB/s | Disk Write: 1623584947200 MB/s | Network In: 481331041500 Mbps | Network Out: 47012237400 Mbps | Active Connections: 161
[2026-04-05 02:52:11] CPU: 93222601100% | Memory: 14780076163072 MB | Disk Read: 580336806000 MB/s | Disk Write: 1696935889600 MB/s | Network In: 463267054000 Mbps | Network Out: 25880963100 Mbps | Active Connections: 88
[2026-04-05 02:51:11] CPU: 113262481300% | Memory: 1478308052992 MB | Disk Read: 340259028000 MB/s | Disk Write: 1039064378400 MB/s | Network In: 375876937500 Mbps | Network Out: 47307309900 Mbps | Active Connections: 265
[2026-04-05 02:50:11] CPU: 108460885400% | Memory: 5033961684992 MB | Disk Read: 1039253926000 MB/s | Disk Write: 341360391200 MB/s | Network In: 760923366500 Mbps | Network Out: 236244781800 Mbps | Active Connections: 174
[2026-04-05 02:49:11] CPU: 60942798700% | Memory: 19076257529856 MB | Disk Read: 1613495969000 MB/s | Disk Write: 245475557600 MB/s | Network In: 122559908000 Mbps | Network Out: 55014651900 Mbps | Active Connections: 197
[2026-04-05 02:48:11] CPU: 87145358200% | Memory: 33819644379136 MB | Disk Read: 355882709000 MB/s | Disk Write: 713875169600 MB/s | Network In: 156596214000 Mbps | Network Out: 230447951100 Mbps | Active Connections: 57
[2026-04-05 02:47:11] CPU: 3611194000% | Memory: 14332723167232 MB | Disk Read: 140221466000 MB/s | Disk Write: 258449204000 MB/s | Network In: 46973721000 Mbps | Network Out: 396910490700 Mbps | Active Connections: 194
[2026-04-05 02:46:11] CPU: 39917901700% | Memory: 31238987743232 MB | Disk Read: 689567962000 MB/s | Disk Write: 1689087517600 MB/s | Network In: 944447583500 Mbps | Network Out: 138492625200 Mbps | Active Connections: 177
[2026-04-05 02:45:11] CPU: 167733097500% | Memory: 8802880307200 MB | Disk Read: 803687328000 MB/s | Disk Write: 558248932000 MB/s | Network In: 627343855500 Mbps | Network Out: 226994706300 Mbps | Active Connections: 51
[2026-04-05 02:44:11] CPU: 108957774600% | Memory: 33457574379520 MB | Disk Read: 1312316913000 MB/s | Disk Write: 1706070792800 MB/s | Network In: 591141676500 Mbps | Network Out: 556696023300 Mbps | Active Connections: 189
[2026-04-05 02:43:11] CPU: 78697076500% | Memory: 11430616006656 MB | Disk Read: 1402868762000 MB/s | Disk Write: 651934331200 MB/s | Network In: 923571534500 Mbps | Network Out: 74336140800 Mbps | Active Connections: 185
[2026-04-05 02:42:11] CPU: 203246542800% | Memory: 29924801675264 MB | Disk Read: 528822980000 MB/s | Disk Write: 804915534400 MB/s | Network In: 588211208500 Mbps | Network Out: 8970885000 Mbps | Active Connections: 61
[2026-04-05 02:41:11] CPU: 197952284900% | Memory: 34357802139648 MB | Disk Read: 885100489000 MB/s | Disk Write: 971850345600 MB/s | Network In: 1000670229000 Mbps | Network Out: 288888803400 Mbps | Active Connections: 150
[2026-04-05 02:40:11] CPU: 101007565200% | Memory: 1944982126592 MB | Disk Read: 773045775000 MB/s | Disk Write: 497048513600 MB/s | Network In: 808248559500 Mbps | Network Out: 513712263000 Mbps | Active Connections: 461
[2026-04-05 02:39:11] CPU: 118474692500% | Memory: 7145432662016 MB | Disk Read: 2068246176000 MB/s | Disk Write: 870310108800 MB/s | Network In: 309277340500 Mbps | Network Out: 299484827100 Mbps | Active Connections: 422
[2026-04-05 02:38:11] CPU: 30995459600% | Memory: 25897809739776 MB | Disk Read: 1151136437000 MB/s | Disk Write: 841721572000 MB/s | Network In: 857377814000 Mbps | Network Out: 249908699700 Mbps | Active Connections: 328
[2026-04-05 02:37:11] CPU: 31642537900% | Memory: 16130526298112 MB | Disk Read: 1430184868000 MB/s | Disk Write: 212863512800 MB/s | Network In: 1034717801000 Mbps | Network Out: 395030622300 Mbps | Active Connections: 241
[2026-04-05 02:36:11] CPU: 107592450400% | Memory: 6286752071680 MB | Disk Read: 50813180000 MB/s | Disk Write: 647361754400 MB/s | Network In: 242770002000 Mbps | Network Out: 184853967000 Mbps | Active Connections: 407
[2026-04-05 02:35:11] CPU: 142453269700% | Memory: 8087381049344 MB | Disk Read: 1348843241000 MB/s | Disk Write: 680067992800 MB/s | Network In: 454792214500 Mbps | Network Out: 32033278800 Mbps | Active Connections: 160
[2026-04-05 02:34:11] CPU: 145816101700% | Memory: 27085026983936 MB | Disk Read: 1668345402000 MB/s | Disk Write: 183412712000 MB/s | Network In: 91912433000 Mbps | Network Out: 312205285800 Mbps | Active Connections: 146
[2026-04-05 02:33:11] CPU: 53078798900% | Memory: 26461867769856 MB | Disk Read: 1339684118000 MB/s | Disk Write: 856918910400 MB/s | Network In: 126095358000 Mbps | Network Out: 185376427800 Mbps | Active Connections: 416
[2026-04-05 02:32:11] CPU: 60028474400% | Memory: 21022889951232 MB | Disk Read: 1842829796000 MB/s | Disk Write: 1635929874400 MB/s | Network In: 652940546500 Mbps | Network Out: 377248425600 Mbps | Active Connections: 245
[2026-04-05 02:31:11] CPU: 71180204700% | Memory: 23871792037888 MB | Disk Read: 954739208000 MB/s | Disk Write: 1434457571200 MB/s | Network In: 710518206000 Mbps | Network Out: 523883501100 Mbps | Active Connections: 198
[2026-04-05 02:30:11] CPU: 44574499300% | Memory: 1703445331968 MB | Disk Read: 633560730000 MB/s | Disk Write: 1061413333600 MB/s | Network In: 654678689000 Mbps | Network Out: 634398980100 Mbps | Active Connections: 103
[2026-04-05 02:29:11] CPU: 102299583100% | Memory: 19713663418368 MB | Disk Read: 470170090000 MB/s | Disk Write: 719072904800 MB/s | Network In: 1016720282500 Mbps | Network Out: 490934751900 Mbps | Active Connections: 316
[2026-04-05 02:28:11] CPU: 10132661800% | Memory: 22606432272384 MB | Disk Read: 903289804000 MB/s | Disk Write: 1626860128800 MB/s | Network In: 82658219000 Mbps | Network Out: 62808222900 Mbps | Active Connections: 229
[2026-04-05 02:27:11] CPU: 179211211700% | Memory: 3540023902208 MB | Disk Read: 752966970000 MB/s | Disk Write: 306147496800 MB/s | Network In: 911400004000 Mbps | Network Out: 564387984000 Mbps | Active Connections: 198
[2026-04-05 02:26:11] CPU: 58396042400% | Memory: 34045994074112 MB | Disk Read: 547672216000 MB/s | Disk Write: 473580453600 MB/s | Network In: 362335597000 Mbps | Network Out: 386762410800 Mbps | Active Connections: 193
[2026-04-05 02:25:11] CPU: 34718390900% | Memory: 28255089180672 MB | Disk Read: 2020691769000 MB/s | Disk Write: 267062904000 MB/s | Network In: 865465737000 Mbps | Network Out: 484622175900 Mbps | Active Connections: 445
